,station,location,Temp,do,ph,co,bod,na,FECAL COLIFORM (MPN/100ml),tc,npH,ndo,nco,nbdo,nec,nna,wph,wdo,wbdo,wec,wna,wco,wqi
1153,2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",24.5,7.5,7.9,237.0,1.8,0.45,1225,2425.0,100,100,40,100,40,100,16.5,28.1,23.400000000000002,0.36,2.8000000000000003,11.240000000000002,82.4
1154,2424,BUDHABALANGA AT BALASORE D/S,24.8,7.4,7.7,865.0,1.9,0.3,1300,2675.0,100,100,40,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,82.03999999999999
1155,2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",25.3,6.7,6.9,132.0,1.2,0.32,953,1823.0,80,100,40,100,80,100,13.200000000000001,28.1,23.400000000000002,0.72,2.8000000000000003,11.240000000000002,79.46000000000001
1156,2426,MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),26.8,7.1,7.9,211.0,1.4,0.48,1065,2098.0,100,100,40,100,60,100,16.5,28.1,23.400000000000002,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001
1157,2427,GUNUPUR (INTERSTATE BOUNDRY),29.0,6.7,7.9,182.0,1.1,0.24,735,1510.0,100,100,40,100,60,100,16.5,28.1,23.400000000000002,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001
1158,2442,GAUTAMINANGODAVARI RIVER,29.0,7.4,8.8,434.0,2.0,0.05,NAN,533687.1656804733,60,100,0,100,0,100,9.9,28.1,23.400000000000002,0.0,2.8000000000000003,0.0,64.2
1159,2443,GAUTAMINANGODAVARI RIVER,28.0,6.4,8.3,565.0,2.0,0.05,NAN,533687.1656804733,100,100,0,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,0.0,70.8
1160,2444,CORINGA RIVER,28.0,6.9,8.8,238.0,4.0,0.05,NAN,533687.1656804733,60,100,0,80,40,100,9.9,28.1,18.720000000000002,0.36,2.8000000000000003,0.0,59.879999999999995
1161,2445,MAHE RIVER,28.0,6.3,6.6,425.0,6.940048767967146,1.6230787089467724,NAN,533687.1656804733,40,100,0,60,0,100,6.6000000000000005,28.1,14.040000000000001,0.0,2.8000000000000003,0.0,51.54
1162,1159,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,24.8,7.4,7.0,75.0,1.6,0.05,78,118.0,100,100,60,100,100,100,16.5,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,16.860000000000003,88.56
